customer_id,name,city,signup_date,monthly_spend,annual_income,satisfaction,churn_risk,legacy_segment
49, Customer 49 ,Los Angeles,03/02/2021,$ 600.31,,9.3,high,
50, Customer 50 ,Chicago,08/04/2020,$ 74.45,,9.2,high,
51, Customer 51 , new york,02/19/2020,$ 675.30,,7.3,,
52, Customer 52 ,Los Angeles,01/13/2021,$ 472.21,88886.58,7.1,low,
53, Customer 53 ,New York,07/27/2023,$ 393.12,,,medium,
54, Customer 54 , new york,07/19/2023,$ 888.54,,6.6,low,
55, Customer 55 , new york,06/19/2020,$ 761.20,16832.26,7.9,high,
56, Customer 56 ,New York,08/07/2020,$ 167.25,11890.0,7.8,medium,
57, Customer 57 ,Chicago,10/17/2021,$ 520.86,46234.66,7.5,low,
58, Customer 58 , new york,01/07/2023,$ 554.53,,8.5,low,
59, Customer 59 ,Chicago,06/27/2023,$ 848.26,17165.16,6.6,low,
60, Customer 60 ,Los Angeles,11/01/2020,$ 165.69,55546.45,7.3,low,
61, Customer 61 ,Los Angeles,07/10/2023,$ 771.33,16647.86,8.2,low,
62, Customer 62 ,Los Angeles,04/05/2020,$ 249.56,48508.88,8.0,medium,
63, Customer 63 ,N/A,04/18/2020,$ 704.35,,8.6,low,
64, Customer 64 ,New York,10/09/2021,$ 745.55,11037.74,7.8,high,
65, Customer 65 ,Los Angeles,08/25/2021,$ 640.65,6298.68,7.1,medium,
66, Customer 66 ,New York,10/09/2020,$ 443.57,,7.8,medium,
67, Customer 67 ,Los Angeles,10/22/2023,$ 895.45,24631.14,6.3,medium,
68, Customer 68 ,New York,11/14/2020,$ 851.80,,5.6,medium,
69, Customer 69 ,Chicago,08/17/2021,$ 180.87,31954.09,,high,
70, Customer 70 ,New York,08/08/2022,$ 357.25,37947.75,,low,
71, Customer 71 ,N/A,10/03/2021,$ 242.22,,7.7,medium,
72, Customer 72 , new york,08/02/2022,$ 318.20,183028.17,5.5,medium,
73, Customer 73 ,Chicago,11/24/2022,$ 498.97,12899.79,7.0,high,
74, Customer 74 ,N/A,10/11/2021,$ 868.93,8089.19,6.7,high,
75, Customer 75 ,New York,02/21/2021,$ 234.30,13216.7,6.4,high,
76, Customer 76 ,Chicago,11/14/2023,$ 616.96,9884.88,4.9,medium,
77, Customer 77 ,Chicago,02/05/2021,$ 746.28,,7.0,low,
78, Customer 78 ,Chicago,01/14/2022,$ 668.55,68757.45,8.4,high,
79, Customer 79 ,Los Angeles,08/07/2020,$ 409.54,13833.05,7.8,high,
80, Customer 80 ,New York,07/18/2023,$ 500.91,9401.34,6.7,medium,
81, Customer 81 ,New York,11/11/2020,$ 717.13,,7.4,medium,
82, Customer 82 ,Chicago,04/25/2021,$ 691.38,114922.3,8.2,low,
83, Customer 83 ,Los Angeles,12/19/2022,$ 317.63,,4.4,medium,
84, Customer 84 ,New York,02/17/2021,$ 886.15,,7.3,medium,
85, Customer 85 ,Chicago,11/04/2020,$ 472.31,12479.22,8.0,high,
86, Customer 86 ,Los Angeles,08/20/2023,$ 824.51,83811.91,8.2,medium,
87, Customer 87 ,Los Angeles,07/11/2021,$ 772.88,12454.89,9.3,low,
88, Customer 88 , new york,05/19/2022,$ 108.77,25415.79,,low,
89, Customer 89 ,Los Angeles,04/07/2022,$ 715.83,8470.53,7.7,medium,
90, Customer 90 ,New York,03/06/2021,$ 889.77,13635.99,7.7,,
91, Customer 91 ,New York,11/13/2022,$ 753.72,114377.0,8.3,high,
92, Customer 92 ,Chicago,01/10/2023,$ 279.85,68769.86,6.8,high,
93, Customer 93 ,Los Angeles,10/17/2023,$ 636.70,22890.99,7.4,medium,
94, Customer 94 ,Los Angeles,04/05/2020,$ 876.75,15015.6,8.4,low,
95, Customer 95 , new york,03/22/2023,$ 318.36,,9.6,high,
96, Customer 96 ,Chicago,02/15/2020,$ 308.24,23056.64,7.2,medium,
97, Customer 97 ,New York,11/04/2022,$ 91.77,31958.3,7.3,high,
98, Customer 98 , new york,01/21/2023,$ 709.24,,7.6,high,
99, Customer 99 ,New York,09/08/2023,$ 366.91,30199.7,8.9,low,
100, Customer 100 ,New York,04/22/2023,$ 756.63,11972.54,7.4,medium,
101, Customer 101 ,Chicago,06/18/2023,$ 874.39,,9.0,medium,
102, Customer 102 ,N/A,03/01/2021,$ 762.93,31735.59,6.3,low,
103, Customer 103 ,Los Angeles,03/25/2023,$ 541.23,,7.2,high,
104, Customer 104 ,Los Angeles,05/09/2022,$ 278.55,176320.76,7.2,,
105, Customer 105 ,Chicago,06/03/2022,$ 265.18,29048.14,8.3,high,
106, Customer 106 , new york,09/02/2023,$ 169.95,,8.5,medium,
107, Customer 107 ,Los Angeles,07/24/2023,$ 356.61,,5.7,medium,
108, Customer 108 ,N/A,09/10/2021,$ 406.81,19017.99,6.4,high,
109, Customer 109 , new york,09/02/2020,$ 108.35,,7.8,low,
110, Customer 110 ,Los Angeles,07/27/2023,$ 534.81,31170.11,6.7,medium,
111, Customer 111 ,Chicago,10/06/2021,$ 426.72,,5.7,low,
112, Customer 112 ,Chicago,04/21/2022,$ 724.67,,8.5,low,
113, Customer 113 ,New York,03/21/2022,$ 741.94,,7.9,high,
114, Customer 114 ,Chicago,11/16/2020,$ 212.48,41151.16,7.9,high,
115, Customer 115 ,New York,11/06/2020,$ 218.46,27871.33,6.9,high,
116, Customer 116 ,Chicago,10/13/2022,$ 21.71,,8.5,high,
117, Customer 117 ,Chicago,02/21/2021,$ 227.84,14000.33,7.1,medium,
118, Customer 118 ,New York,12/18/2023,$ 652.39,,8.6,low,
119, Customer 119 ,Los Angeles,10/24/2020,$ 419.69,20052.63,6.4,medium,
120, Customer 120 ,Chicago,10/17/2021,$ 386.28,40558.93,6.5,low,
104, Customer 104 ,Los Angeles,05/09/2022,$ 278.55,176320.76,7.2,,
96, Customer 96 ,Chicago,02/15/2020,$ 308.24,23056.64,7.2,medium,
6, Customer 6 ,Chicago,05/03/2020,$ 201.49,137143.06,7.1,high,
112, Customer 112 ,Chicago,04/21/2022,$ 724.67,,8.5,low,
102, Customer 102 ,N/A,03/01/2021,$ 762.93,31735.59,6.3,low,
7, Customer 7 ,New York,05/10/2021,$ 149.43,18350.95,5.1,medium,
60, Customer 60 ,Los Angeles,11/01/2020,$ 165.69,55546.45,7.3,low,
